test_case,n,capacity,DP_value,Greedy_value,quality_ratio,is_optimal
0,10,50,413,410,0.992736,0
1,10,50,507,507,1.000000,1
2,10,50,426,426,1.000000,1
3,10,50,481,481,1.000000,1
4,10,50,607,607,1.000000,1
5,12,60,623,623,1.000000,1
6,12,60,909,909,1.000000,1
7,12,60,632,631,0.998418,0
8,12,60,665,665,1.000000,1
9,12,60,850,850,1.000000,1
10,14,70,847,847,1.000000,1
11,14,70,713,713,1.000000,1
12,14,70,846,835,0.986998,0
13,14,70,876,876,1.000000,1
14,14,70,800,800,1.000000,1
15,16,80,1217,1217,1.000000,1
16,16,80,1232,1221,0.991071,0
17,16,80,1266,1259,0.994471,0
18,16,80,1096,1096,1.000000,1
19,16,80,1180,1180,1.000000,1
20,18,90,1360,1350,0.992647,0
21,18,90,1710,1710,1.000000,1
22,18,90,1205,1174,0.974274,0
23,18,90,1603,1603,1.000000,1
24,18,90,1551,1537,0.990974,0
25,20,100,1646,1646,1.000000,1
26,20,100,1833,1833,1.000000,1
27,20,100,1530,1530,1.000000,1
28,20,100,2045,2033,0.994132,0
29,20,100,1857,1857,1.000000,1
30,22,110,2563,2537,0.989856,0
31,22,110,2250,2240,0.995556,0
32,22,110,1790,1790,1.000000,1
33,22,110,2449,2449,1.000000,1
34,22,110,2196,2187,0.995902,0
35,24,120,2279,2239,0.982448,0
36,24,120,2494,2494,1.000000,1
37,24,120,2451,2451,1.000000,1
38,24,120,2377,2377,1.000000,1
39,24,120,2704,2704,1.000000,1
40,26,130,2881,2832,0.982992,0
41,26,130,3068,3068,1.000000,1
42,26,130,2257,2257,1.000000,1
43,26,130,2995,2995,1.000000,1
44,26,130,2689,2639,0.981406,0
45,28,140,2834,2779,0.980593,0
46,28,140,3228,3228,1.000000,1
47,28,140,3529,3529,1.000000,1
48,28,140,2637,2634,0.998862,0
49,28,140,2850,2850,1.000000,1
50,30,150,3444,3444,1.000000,1
51,30,150,3895,3895,1.000000,1
52,30,150,3377,3377,1.000000,1
53,30,150,4204,4193,0.997383,0
54,30,150,2830,2827,0.998940,0
55,32,160,3750,3750,1.000000,1
56,32,160,3406,3406,1.000000,1
57,32,160,3803,3787,0.995793,0
58,32,160,4296,4282,0.996741,0
59,32,160,3656,3641,0.995897,0
60,34,170,4395,4391,0.999090,0
61,34,170,4583,4570,0.997163,0
62,34,170,4131,4131,1.000000,1
63,34,170,4134,4103,0.992501,0
64,34,170,3990,3964,0.993484,0
65,36,180,4914,4911,0.999389,0
66,36,180,4569,4569,1.000000,1
67,36,180,4182,4182,1.000000,1
68,36,180,5564,5564,1.000000,1
69,36,180,5344,5344,1.000000,1
70,38,190,5489,5456,0.993988,0
71,38,190,5849,5849,1.000000,1
72,38,190,4334,4334,1.000000,1
73,38,190,4748,4722,0.994524,0
74,38,190,4332,4310,0.994922,0
75,40,200,5577,5576,0.999821,0
76,40,200,6825,6825,1.000000,1
77,40,200,5109,5019,0.982384,0
78,40,200,6136,6125,0.998207,0
79,40,200,4649,4649,1.000000,1
80,42,210,6844,6827,0.997516,0
81,42,210,6500,6500,1.000000,1
82,42,210,5679,5663,0.997183,0
83,42,210,5615,5536,0.985931,0
84,42,210,7705,7694,0.998572,0
85,44,220,7755,7704,0.993424,0
86,44,220,7351,7319,0.995647,0
87,44,220,7382,7382,1.000000,1
88,44,220,6406,6406,1.000000,1
89,44,220,6786,6710,0.988800,0
90,46,230,7428,7428,1.000000,1
91,46,230,6776,6727,0.992769,0
92,46,230,6830,6830,1.000000,1
93,46,230,7784,7782,0.999743,0
94,46,230,6164,6147,0.997242,0
95,48,240,8358,8358,1.000000,1
96,48,240,7797,7766,0.996024,0
97,48,240,7837,7837,1.000000,1
98,48,240,6910,6869,0.994067,0
99,48,240,7421,7421,1.000000,1
100,50,250,9603,9600,0.999688,0
101,50,250,9034,9034,1.000000,1
102,50,250,7846,7844,0.999745,0
103,50,250,6989,6989,1.000000,1
104,50,250,7776,7740,0.995370,0
