n,capacity,DP_time_ms,Greedy_time_ms,BruteForce_time_ms
2,20,0.002333,0.000333,0.000000
2,40,0.003000,0.000333,0.000000
2,60,0.005667,0.000333,0.000000
2,80,0.005333,0.000333,0.000000
2,100,0.019333,0.000333,0.000000
2,120,0.007333,0.000333,0.000000
2,140,0.008000,0.000333,0.000000
2,160,0.015667,0.000333,0.000000
2,180,0.013333,0.000333,0.000000
2,200,0.012333,0.000333,0.000000
4,20,0.003333,0.000333,0.001000
4,40,0.005000,0.000333,0.001000
4,60,0.009000,0.000333,0.001000
4,80,0.007667,0.000333,0.001000
4,100,0.008333,0.000333,0.001000
4,120,0.009333,0.000333,0.002000
4,140,0.012000,0.000667,0.001000
4,160,0.012000,0.000333,0.001000
4,180,0.012667,0.000333,0.001000
4,200,0.015667,0.001333,0.001000
6,20,0.003667,0.000333,0.003000
6,40,0.007000,0.001000,0.004000
6,60,0.007333,0.001000,0.005000
6,80,0.013667,0.001333,0.005000
6,100,0.013000,0.001000,0.005000
6,120,0.013333,0.001000,0.004000
6,140,0.015333,0.000667,0.005000
6,160,0.016667,0.001000,0.005000
6,180,0.018333,0.000667,0.005000
6,200,0.020000,0.001000,0.005000
8,20,0.009667,0.001333,0.014000
8,40,0.007667,0.001000,0.016000
8,60,0.009667,0.001333,0.016000
8,80,0.012333,0.001333,0.016000
8,100,0.020000,0.001333,0.018000
8,120,0.022667,0.001333,0.018000
8,140,0.019667,0.001333,0.018000
8,160,0.021333,0.001333,0.017000
8,180,0.026333,0.001333,0.019000
8,200,0.029667,0.001000,0.016000
10,20,0.005667,0.001333,0.065000
10,40,0.009000,0.001333,0.064000
10,60,0.012000,0.001333,0.070000
10,80,0.016000,0.001333,0.067000
10,100,0.025333,0.001667,0.066000
10,120,0.033000,0.001333,0.066000
10,140,0.023333,0.001333,0.067000
10,160,0.028000,0.001667,0.067000
10,180,0.031667,0.001333,0.076000
10,200,0.032333,0.001333,0.072000
12,20,0.006333,0.001333,0.281000
12,40,0.010333,0.001333,0.279000
12,60,0.016333,0.001333,0.285000
12,80,0.017667,0.001333,0.289000
12,100,0.021000,0.001667,0.283000
12,120,0.026000,0.001333,0.282000
12,140,0.029000,0.001667,0.302000
